,Name,Genre,Director,Cast
257,The Diving Bell and the Butterfly,Biography/Drama,Julian Schnabel,Mathieu Amalric/Emmanuelle Seigner
258,Akira,Animation/Action/Sci-Fi,Katsuhiro Ôtomo,Nozomu Sasaki/Mami Koyama
259,Groundhog Day,Comedy/Fantasy/Romance,Harold Ramis,Bill Murray/Andie MacDowell
260,Rope,Crime/Drama/Thriller,Alfred Hitchcock,James Stewart/John Dall
261,Shutter Island,Mystery/Thriller,Martin Scorsese,Leonardo DiCaprio/Emily Mortimer
262,A Fistful of Dollars,Action/Drama/Western,Sergio Leone,Clint Eastwood/Gian Maria Volontè
263,The Terminator,Action/Sci-Fi,James Cameron,Arnold Schwarzenegger/Linda Hamilton
264,The Manchurian Candidate,Drama/Thriller,John Frankenheimer,Frank Sinatra/Laurence Harvey
265,Before Sunset,Drama/Romance,Richard Linklater,Ethan Hawke/Julie Delpy
266,The Hobbit: An Unexpected Journey,Adventure/Fantasy,Peter Jackson,Martin Freeman/Ian McKellen
267,Life of Pi (2012),Adventure/Drama/Fantasy,Ang Lee,Suraj Sharma/Irrfan Khan
268,Papillon,Biography/Crime/Drama,Franklin J. Schaffner,Steve McQueen/Dustin Hoffman
269,A Streetcar Named Desire,Drama,Elia Kazan,Vivien Leigh/Marlon Brando
270,Slumdog Millionaire,Drama,Danny Boyle,Dev Patel/Freida Pinto
271,Crimes and Misdemeanors,Comedy/Drama,Woody Allen,Martin Landau/Woody Allen
272,Young Frankenstein,Comedy,Mel Brooks,Gene Wilder/Madeline Kahn
273,Charade,Comedy/Mystery/Romance,Stanley Donen,Cary Grant/Audrey Hepburn
274,Being There,Comedy/Drama,Hal Ashby,Peter Sellers/Shirley MacLaine
275,Frozen,Animation/Adventure/Comedy,Chris Buck,Kristen Bell/Idina Menzel
276,"Monsters, Inc.",Animation/Adventure/Comedy,Pete Docter,Billy Crystal/John Goodman
277,All Quiet on the Western Front,Drama/War,Lewis Milestone,Lew Ayres/Louis Wolheim
278,Beauty and the Beast,Animation/Family/Fantasy,Gary Trousdale,Paige O'Hara/Robby Benson
279,The Wild Bunch,Action/Adventure/Western,Sam Peckinpah,William Holden/Ernest Borgnine
280,Patton,Biography/Drama/War,Franklin J. Schaffner,George C. Scott/Karl Malden
281,Sling Blade,Drama,Billy Bob Thornton,Billy Bob Thornton/Dwight Yoakam
282,The Cabinet of Dr. Caligari,Fantasy/Horror/Mystery,Robert Wiene,Werner Krauss/Conrad Veidt
283,Star Trek,Action/Adventure/Sci-Fi,Justin Lin,Chris Pine/Zachary Quinto
284,Black Swan,Drama/Thriller,Darren Aronofsky,Natalie Portman/Mila Kunis
285,The Nightmare Before Christmas,Animation/Family/Fantasy,Henry Selick,Danny Elfman/Chris Sarandon
286,Manhattan,Comedy/Drama/Romance,Woody Allen,Woody Allen/Diane Keaton
287,Dawn of the Dead,Action/Horror/Thriller,Zack Snyder,Sarah Polley/Ving Rhames
288,Dogville,Crime/Drama,Lars von Trier,Nicole Kidman/Paul Bettany
